yearID,lgID,franchID,Rank,G,W,L,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,RA,ER,ERA,SV,HA,HRA,BBA,SOA,E,DP,FP,attendance
1920,AL,CLE,1,154,98,56,Y,Y,857,5203,1574,300,95,35,574,379,73,642,522,3.41,7,1448,31,401,466,185,124,0.97,912832
1920,NL,LAD,1,155,93,61,Y,N,660,5399,1493,205,99,28,359,391,70,528,415,2.62,10,1381,25,327,553,226,118,0.96,808722
1921,AL,NYY,1,153,98,55,Y,N,948,5249,1576,285,87,134,588,569,89,708,579,3.82,15,1461,51,470,481,220,138,0.96,1230696
1921,NL,SFG,1,153,94,59,Y,Y,840,5278,1575,237,93,75,469,390,137,637,541,3.55,18,1497,79,295,357,187,155,0.97,973477
1922,AL,NYY,1,154,94,60,Y,N,758,5245,1504,220,75,95,497,532,62,618,525,3.39,14,1402,73,423,458,155,122,0.97,1026134
1922,NL,SFG,1,156,93,61,Y,Y,852,5454,1661,253,90,80,448,421,116,658,535,3.45,15,1454,71,393,388,194,145,0.97,945809
1923,AL,NYY,1,152,98,54,Y,Y,823,5347,1554,231,79,105,521,516,69,622,555,3.62,10,1365,68,491,506,144,131,0.97,1007066
1923,NL,SFG,1,153,95,58,Y,N,854,5452,1610,248,76,85,487,406,106,679,597,3.9,18,1440,82,424,453,176,141,0.97,820780
1924,AL,MIN,1,156,92,62,Y,Y,755,5304,1558,255,88,22,513,392,115,613,513,3.34,25,1329,34,505,469,171,149,0.97,584310
1924,NL,SFG,1,154,93,60,Y,N,857,5445,1634,269,81,95,467,479,82,641,554,3.62,21,1464,77,392,406,186,160,0.97,844068
1925,AL,MIN,1,152,96,55,Y,N,829,5206,1577,251,71,56,533,427,134,670,558,3.7,21,1434,49,543,463,172,166,0.97,817199
1925,NL,PIT,1,153,95,58,Y,Y,912,5372,1651,316,105,78,499,363,159,715,582,3.87,13,1526,81,387,386,224,171,0.96,804354
1926,AL,NYY,1,155,91,63,Y,N,847,5221,1508,262,75,121,642,580,79,713,588,3.86,20,1442,56,478,486,209,117,0.96,1027675
1926,NL,STL,1,156,89,65,Y,Y,817,5381,1541,259,82,90,478,518,83,678,570,3.67,6,1423,76,397,365,198,141,0.96,668428
1927,AL,NYY,1,155,110,44,Y,Y,975,5347,1644,291,103,158,635,605,90,599,494,3.2,20,1403,42,409,431,196,123,0.96,1164015
1927,NL,PIT,1,156,94,60,Y,N,817,5397,1648,258,78,54,437,355,65,659,563,3.66,10,1400,58,418,435,187,130,0.96,869720
1928,AL,NYY,1,154,101,53,Y,Y,894,5337,1578,269,79,133,562,544,51,685,571,3.74,21,1466,59,452,487,199,136,0.96,1072132
1928,NL,STL,1,154,95,59,Y,N,807,5357,1505,292,70,113,568,438,82,636,531,3.38,21,1470,86,399,422,152,134,0.97,761574
1929,AL,OAK,1,151,104,46,Y,Y,901,5204,1539,288,76,122,543,440,61,615,519,3.44,24,1371,73,487,573,148,117,0.97,839176
1929,NL,CHC,1,156,98,54,Y,N,982,5471,1655,310,46,139,589,567,103,758,646,4.16,21,1542,77,537,548,154,169,0.97,1485166
1930,AL,OAK,1,154,102,52,Y,Y,951,5345,1573,319,74,125,599,531,48,751,652,4.28,21,1457,84,488,672,145,121,0.97,721663
1930,NL,STL,1,154,92,62,Y,N,1004,5512,1732,373,89,104,479,496,72,784,673,4.39,21,1596,87,476,639,183,176,0.97,508501
1931,AL,OAK,1,153,107,45,Y,N,858,5377,1544,311,64,118,528,543,25,626,526,3.47,16,1342,73,457,574,140,151,0.97,627464
1931,NL,STL,1,154,101,53,Y,Y,815,5435,1554,353,74,60,432,475,114,614,531,3.45,20,1470,65,449,626,160,169,0.97,608535
1932,AL,NYY,1,156,107,47,Y,Y,1002,5477,1564,279,82,160,766,527,77,724,623,3.98,15,1425,93,561,780,190,124,0.96,962320
1932,NL,CHC,1,154,90,64,Y,N,720,5462,1519,296,60,69,398,514,48,633,535,3.44,7,1444,68,409,527,173,146,0.97,974688
1933,AL,MIN,1,153,99,53,Y,N,850,5524,1586,281,86,60,539,395,65,665,590,3.82,26,1415,64,452,447,133,149,0.97,437533
1933,NL,SFG,1,156,91,61,Y,Y,636,5461,1437,204,41,82,377,477,31,515,424,2.71,15,1280,61,400,555,178,156,0.97,604471
1934,AL,DET,1,154,101,53,Y,N,958,5475,1644,349,53,74,639,528,125,708,618,4.06,14,1467,86,488,640,156,150,0.97,919161
1934,NL,STL,1,154,95,58,Y,Y,799,5502,1582,294,75,104,392,535,69,656,568,3.69,16,1463,77,411,689,166,141,0.97,325056
1935,AL,DET,1,152,93,58,Y,Y,919,5423,1573,301,83,106,627,456,70,665,579,3.82,11,1440,78,522,584,126,154,0.97,1034929
1935,NL,CHC,1,154,100,54,Y,N,847,5486,1581,303,62,88,464,471,66,597,505,3.26,14,1417,85,400,589,186,163,0.97,692604
1936,AL,NYY,1,155,102,51,Y,Y,1065,5591,1676,315,83,182,700,594,77,731,649,4.17,21,1474,84,663,624,163,148,0.97,976913
1936,NL,SFG,1,154,92,62,Y,N,742,5449,1529,237,48,97,431,452,31,621,532,3.46,22,1458,75,401,500,168,164,0.97,837952
1937,AL,NYY,1,157,102,52,Y,Y,979,5487,1554,282,73,174,709,607,60,671,566,3.65,21,1417,92,506,652,169,134,0.97,998148
1937,NL,SFG,1,152,95,57,Y,N,732,5329,1484,251,41,111,412,492,45,602,519,3.43,17,1341,85,404,653,159,143,0.97,926887
1938,AL,NYY,1,157,99,53,Y,Y,966,5410,1480,283,63,174,749,616,91,710,600,3.91,13,1436,85,566,567,169,169,0.97,970916
1938,NL,CHC,1,154,89,63,Y,N,713,5333,1435,242,70,65,522,476,49,598,523,3.37,18,1414,71,454,583,135,151,0.97,951640
1939,AL,NYY,1,152,106,45,Y,Y,967,5300,1521,259,55,166,701,543,72,556,496,3.31,26,1208,85,567,565,126,159,0.97,859785
1939,NL,CIN,1,156,97,57,Y,N,767,5378,1493,269,60,98,500,538,46,595,510,3.27,9,1340,81,499,637,159,170,0.97,981443
1940,AL,DET,1,155,90,64,Y,N,888,5418,1549,312,65,134,664,556,66,717,613,4.01,23,1425,102,570,752,194,116,0.96,1112693
